epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5501,0.5863,1.5883,0.5431,0.6510,0.5546,0.5944,0.7537,0.5433,0.7023
1,0.5545,0.5970,0.7547,0.5469,0.6546,0.5539,0.5966,0.7589,0.5446,0.6764
2,0.5546,0.5967,0.7537,0.5469,0.6553,0.5553,0.5971,0.7524,0.5446,0.6926
3,0.5544,0.5974,0.7528,0.5470,0.6521,0.5570,0.5971,0.7528,0.5488,0.6565
4,0.5548,0.5969,0.7527,0.5471,0.6537,0.5554,0.5965,0.7515,0.5517,0.6060
5,0.5538,0.5958,0.7523,0.5463,0.6534,0.5546,0.5956,0.7516,0.5518,0.5962
6,0.5544,0.5953,0.7524,0.5468,0.6535,0.5556,0.5954,0.7511,0.5459,0.6774
7,0.5538,0.5956,0.7524,0.5463,0.6533,0.5564,0.5956,0.7517,0.5469,0.6739
8,0.5551,0.5957,0.7527,0.5469,0.6605,0.5470,0.5964,0.7545,0.5332,0.7782
9,0.5541,0.5969,0.7557,0.5464,0.6547,0.5570,0.5967,0.7580,0.5504,0.6378
