epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4997105002403259,"""[0.66640925]""",0.5035489201545715,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.49155452847480774,0.5011691451072693,1.0
1,0.4997105002403259,"""[0.66640925]""",0.48832595348358154,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48806169629096985,0.5011691451072693,1.0
2,0.4997105002403259,"""[0.66640925]""",0.4828459322452545,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48252809047698975,0.5011691451072693,1.0
3,0.4997105002403259,"""[0.66640925]""",0.4782067835330963,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4815389811992645,0.5011691451072693,1.0
4,0.4997105002403259,"""[0.66640925]""",0.47452911734580994,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48012685775756836,0.5011691451072693,1.0
5,0.4997105002403259,"""[0.66640925]""",0.47108957171440125,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4772566854953766,0.5011691451072693,1.0
6,0.4997105002403259,"""[0.66640925]""",0.46816858649253845,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.47745174169540405,0.5011691451072693,1.0
7,0.4997105002403259,"""[0.66640925]""",0.46545636653900146,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4768465459346771,0.5011691451072693,1.0
8,0.4997105002403259,"""[0.66640925]""",0.46297162771224976,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.47664523124694824,0.5011691451072693,1.0
9,0.4997105002403259,"""[0.66640925]""",0.4604032635688782,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.476867139339447,0.5011691451072693,1.0
10,0.4997105002403259,"""[0.66640925]""",0.4580082297325134,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.47882795333862305,0.5011691451072693,1.0
11,0.4997105002403259,"""[0.66640925]""",0.45558279752731323,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48043426871299744,0.5011691451072693,1.0
12,0.4997105002403259,"""[0.66640925]""",0.4531264007091522,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4811140298843384,0.5011691451072693,1.0
13,0.4997105002403259,"""[0.66640925]""",0.4510309100151062,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4810386002063751,0.5011691451072693,1.0
14,0.4997105002403259,"""[0.66640925]""",0.4488796591758728,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4848209023475647,0.5011691451072693,1.0
15,0.4997105002403259,"""[0.66640925]""",0.4469514787197113,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48532968759536743,0.5011691451072693,1.0
16,0.4997105002403259,"""[0.66640925]""",0.4448970854282379,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4851625859737396,0.5011691451072693,1.0
17,0.4997105002403259,"""[0.66640925]""",0.44280806183815,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48691460490226746,0.5011691451072693,1.0
18,0.4997105002403259,"""[0.66640925]""",0.44077616930007935,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48982250690460205,0.5011691451072693,1.0
19,0.4997105002403259,"""[0.66640925]""",0.4391176998615265,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.49010220170021057,0.5011691451072693,1.0
20,0.4997105002403259,"""[0.66640925]""",0.4375394284725189,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4946044385433197,0.5011691451072693,1.0
21,0.4997105002403259,"""[0.66640925]""",0.43605920672416687,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4941519498825073,0.5011691451072693,1.0
22,0.4997105002403259,"""[0.66640925]""",0.43474555015563965,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4931717813014984,0.5011691451072693,1.0
23,0.4997105002403259,"""[0.66640925]""",0.4335976541042328,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4991571307182312,0.5011691451072693,1.0
24,0.4997105002403259,"""[0.66640925]""",0.4322465658187866,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4983932673931122,0.5011691451072693,1.0
25,0.4997105002403259,"""[0.66640925]""",0.4312046766281128,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5008031129837036,0.5011691451072693,1.0
26,0.4997105002403259,"""[0.66640925]""",0.43041011691093445,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.49950143694877625,0.5011691451072693,1.0
27,0.4997105002403259,"""[0.66640925]""",0.4294522702693939,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5016814470291138,0.5011691451072693,1.0
28,0.4997105002403259,"""[0.66640925]""",0.428555965423584,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5063017010688782,0.5011691451072693,1.0
29,0.4997105002403259,"""[0.66640925]""",0.4280467927455902,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5057076215744019,0.5011691451072693,1.0
