epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7573020458221436,"""[0.7603698]""",0.4967694878578186,0.7295534610748291,0.7362480163574219,0.7727500200271606,"""[0.7750835]""",0.4702025055885315,0.7552263140678406,0.7692510485649109
1,0.7851197719573975,"""[0.7872221]""",0.45534953474998474,0.763408899307251,0.7759263515472412,0.7781041860580444,"""[0.7778311]""",0.4627199172973633,0.768730640411377,0.7798277735710144
2,0.7978801727294922,"""[0.799899]""",0.4319154918193817,0.7734918594360352,0.7835046052932739,0.7771874666213989,"""[0.78315526]""",0.4684545397758484,0.7761872410774231,0.7873181700706482
3,0.811718761920929,"""[0.81319565]""",0.4070635437965393,0.7797382473945618,0.7911439538002014,0.7769583463668823,"""[0.7756778]""",0.47268208861351013,0.7828667759895325,0.793266773223877
4,0.8250572681427002,"""[0.82624906]""",0.3789598345756531,0.7866295576095581,0.7959626913070679,0.7731041312217712,"""[0.77789336]""",0.488982617855072,0.7891061902046204,0.7985753417015076
5,0.8397135138511658,"""[0.840492]""",0.3496690094470978,0.7924835681915283,0.8017842769622803,0.7694583535194397,"""[0.7674233]""",0.5190883278846741,0.7952172756195068,0.8036332130432129
6,0.8530572652816772,"""[0.8540388]""",0.32103264331817627,0.7985824346542358,0.8063482046127319,0.7637708187103271,"""[0.7657571]""",0.561973512172699,0.8009552359580994,0.808635413646698
7,0.8654322624206543,"""[0.86660576]""",0.2941957712173462,0.8039374351501465,0.8115426898002625,0.7618958353996277,"""[0.764336]""",0.6045836806297302,0.8061200380325317,0.8139848709106445
8,0.8768125176429749,"""[0.87803215]""",0.2694307565689087,0.8088831305503845,0.8167635798454285,0.7556458115577698,"""[0.763151]""",0.6560637950897217,0.8108288645744324,0.8194255828857422
9,0.8859895467758179,"""[0.8871813]""",0.24720799922943115,0.8132168650627136,0.8222565054893494,0.7560208439826965,"""[0.7621794]""",0.7297853827476501,0.8151031136512756,0.8246594667434692
