epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4997105002403259,"""[0.66640925]""",0.5147205591201782,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5071864128112793,0.5011691451072693,1.0
1,0.4997105002403259,"""[0.66640925]""",0.5064467191696167,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5054693818092346,0.5011691451072693,1.0
2,0.4997105002403259,"""[0.66640925]""",0.5051676630973816,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5046620965003967,0.5011691451072693,1.0
3,0.4997105002403259,"""[0.66640925]""",0.5046621561050415,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5041897892951965,0.5011691451072693,1.0
4,0.4997105002403259,"""[0.66640925]""",0.5041716694831848,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5038558840751648,0.5011691451072693,1.0
5,0.4997105002403259,"""[0.66640925]""",0.5037731528282166,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5035896301269531,0.5011691451072693,1.0
6,0.4997105002403259,"""[0.66640925]""",0.503539502620697,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5033707618713379,0.5011691451072693,1.0
7,0.4997105002403259,"""[0.66640925]""",0.5034069418907166,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.503222644329071,0.5011691451072693,1.0
8,0.4997105002403259,"""[0.66640925]""",0.5030943751335144,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.503050684928894,0.5011691451072693,1.0
9,0.4997105002403259,"""[0.66640925]""",0.5029401779174805,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5029028058052063,0.5011691451072693,1.0
