epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7780974507331848,"""[0.7801332]""",0.07645110040903091,0.7606459856033325,0.7726560235023499,0.7862720489501953,"""[0.7911404]""",0.07339226454496384,0.7734589576721191,0.7893140316009521
1,0.7952297925949097,"""[0.7972436]""",0.07141277194023132,0.7777999043464661,0.7949902415275574,0.7915183901786804,"""[0.79232085]""",0.07205013185739517,0.7811281681060791,0.7973076701164246
2,0.8030928373336792,"""[0.80489945]""",0.06899408251047134,0.7842758297920227,0.7997469305992126,0.7917095422744751,"""[0.7946278]""",0.07188409566879272,0.7860862612724304,0.801611065864563
3,0.8103179931640625,"""[0.81206715]""",0.06698117405176163,0.7883074879646301,0.803859293460846,0.7920036911964417,"""[0.7937725]""",0.07219447940587997,0.7898878455162048,0.8053339123725891
4,0.8158069849014282,"""[0.81744266]""",0.06532733887434006,0.7917817831039429,0.8069815635681152,0.7904080748558044,"""[0.78989595]""",0.07270947098731995,0.7932490706443787,0.8080205321311951
5,0.8215606808662415,"""[0.82302016]""",0.06378173828125,0.795028030872345,0.8093088865280151,0.7897904515266418,"""[0.792237]""",0.0733887329697609,0.7962000370025635,0.8104891180992126
6,0.8262344002723694,"""[0.8275454]""",0.062407903373241425,0.7976859211921692,0.811893880367279,0.7884411811828613,"""[0.79115766]""",0.07381527125835419,0.798726499080658,0.8129124045372009
7,0.8307913541793823,"""[0.83203584]""",0.061193231493234634,0.8000531196594238,0.8142037987709045,0.7870956063270569,"""[0.78672546]""",0.07418175786733627,0.8011462688446045,0.8149428963661194
8,0.834763765335083,"""[0.83586967]""",0.06010495126247406,0.8024996519088745,0.8159269094467163,0.7855514883995056,"""[0.7847649]""",0.07496695965528488,0.8034936189651489,0.8166071176528931
9,0.8386535048484802,"""[0.83972836]""",0.059024110436439514,0.804724931716919,0.817511260509491,0.7853823304176331,"""[0.7854076]""",0.07567606121301651,0.8056446313858032,0.8182387351989746
10,0.8417251706123352,"""[0.84272623]""",0.058161091059446335,0.8067470192909241,0.8191473484039307,0.783290445804596,"""[0.78388715]""",0.0760514885187149,0.8075956702232361,0.8198125958442688
11,0.8449668884277344,"""[0.8459552]""",0.05733107402920723,0.8086259961128235,0.8206814527511597,0.7836139798164368,"""[0.7860703]""",0.07776977121829987,0.809352457523346,0.8214254975318909
12,0.847959578037262,"""[0.84897035]""",0.056497495621442795,0.8102526664733887,0.8223589658737183,0.781955897808075,"""[0.78259367]""",0.07715044915676117,0.8110010623931885,0.8229838609695435
13,0.8505376577377319,"""[0.85154265]""",0.055725470185279846,0.8118761777877808,0.8237937688827515,0.7807095646858215,"""[0.7795791]""",0.07816200703382492,0.8126092553138733,0.8243283033370972
14,0.8527472615242004,"""[0.85364574]""",0.05506489425897598,0.8134768605232239,0.8249865770339966,0.7801727652549744,"""[0.78177494]""",0.07913658767938614,0.814108669757843,0.8255983591079712
15,0.8548437356948853,"""[0.8558396]""",0.054515939205884933,0.8148486018180847,0.8263523578643799,0.7802867889404297,"""[0.78212106]""",0.07846883684396744,0.8154455423355103,0.8269315361976624
16,0.856715977191925,"""[0.85762745]""",0.05395812541246414,0.8161634206771851,0.8276300430297852,0.7788749933242798,"""[0.7778344]""",0.08060599863529205,0.8167587518692017,0.8280882835388184
17,0.8586911559104919,"""[0.8595933]""",0.053421277552843094,0.8174954652786255,0.8286872506141663,0.7793492674827576,"""[0.77915686]""",0.07968273013830185,0.8180487155914307,0.8291580677032471
18,0.8603805303573608,"""[0.8612376]""",0.05293042212724686,0.8187191486358643,0.8297476768493652,0.7774779200553894,"""[0.7778096]""",0.08118672668933868,0.8192496299743652,0.8301938772201538
19,0.8616286516189575,"""[0.86246955]""",0.052509553730487823,0.8198707103729248,0.8307502865791321,0.7775294184684753,"""[0.77682376]""",0.08012524247169495,0.82037353515625,0.83115154504776
20,0.8629181981086731,"""[0.86378247]""",0.05213817209005356,0.8209822773933411,0.8316648006439209,0.7771764993667603,"""[0.7763873]""",0.08211608976125717,0.8214539885520935,0.8320579528808594
21,0.8642380237579346,"""[0.86501855]""",0.05174272507429123,0.822030782699585,0.8325367569923401,0.7765477895736694,"""[0.7781424]""",0.08179809153079987,0.8224613070487976,0.8329470157623291
22,0.8655872941017151,"""[0.8664389]""",0.05140748247504234,0.822974681854248,0.8334504961967468,0.7768786549568176,"""[0.77731335]""",0.08118324726819992,0.8233966827392578,0.8338475823402405
23,0.8664595484733582,"""[0.8672773]""",0.05108189582824707,0.8238986730575562,0.8343177437782288,0.7758676409721375,"""[0.77514184]""",0.08257326483726501,0.8243042826652527,0.8346553444862366
24,0.8673593997955322,"""[0.8681313]""",0.050783999264240265,0.8248105645179749,0.8350642919540405,0.7754448652267456,"""[0.77336097]""",0.08242406696081161,0.82520991563797,0.8353583812713623
25,0.8682858347892761,"""[0.8690723]""",0.050496380776166916,0.8257007598876953,0.8357267379760742,0.7758603096008301,"""[0.7776927]""",0.08174373209476471,0.8260324001312256,0.8360891342163086
